#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
31,Merrill Kelly,ARI,28.1,9.3, ,7.7, , ,5.3, ,-6.0, , ,2.0, , ,1,2022-04-01
32,Kyle Hendricks,CHC,24.2,9.3, , , , ,5.2, ,-8.8, , ,6.1, , ,1,2022-04-01
33,Zack Greinke,KCR,22.0,9.3, ,7.3, , ,6.7,4.3,-7.1, , ,2.4, , ,1,2022-04-01
34,Jesus Luzardo,MIA,20.1,9.2, , , , ,8.5, ,-0.3, , ,6.0, , ,1,2022-04-01
35,Joan Adon,WSN,23.1,9.0, , , , ,8.1,-4.7,-5.9, , ,4.3, , ,1,2022-04-01
36,Aaron Nola,PHI,27.2,8.9, ,4.5, , ,5.4, , ,-6.2, ,1.6, , ,1,2022-04-01
37,Martin Perez,TEX,21.0,8.8, ,6.9, , ,6.3, ,-2.8, , ,5.2, , ,1,2022-04-01
38,Chris Bassitt,NYM,24.0,8.8, ,5.4, , ,6.4,-0.2,-8.7, , ,4.7, , ,1,2022-04-01
39,Carlos Carrasco,NYM,22.0,8.8, , , , ,4.9,2.1,-2.5, , ,0.3, , ,1,2022-04-01
40,Madison Bumgarner,ARI,23.0,8.7, ,5.2, , ,7.3, ,-0.8, , ,3.8, , ,1,2022-04-01
41,Jose Berrios,TOR,24.0,8.7, , , , ,6.5, ,-1.9, , ,2.7, , ,1,2022-04-01
42,Joe Ryan,MIN,23.0,8.6, , , , , ,1.1,-6.3, , ,6.3, , ,1,2022-04-01
43,Sandy Alcantara,MIA,25.1,8.5, , , , ,4.5,2.9, , , ,2.8, , ,1,2022-04-01
44,Nathan Eovaldi,BOS,28.2,8.3, ,5.6,0.4, , ,0.9,-4.9, , , , , ,1,2022-04-01
45,German Marquez,COL,21.0,8.0, , , , ,6.5,1.7, ,-0.6, ,5.2, , ,1,2022-04-01
46,Joe Musgrove,SDP,25.0,8.0, ,5.7, , ,5.9,-0.2,-7.9, , ,3.1, , ,1,2022-04-01
47,Brad Keller,KCR,24.2,7.9, , , , ,4.8,-0.2, , , ,5.5, , ,1,2022-04-01
48,Max Fried,ATL,24.0,7.8, , , , ,6.0,0.7,-8.8, , ,2.0, , ,1,2022-04-01
49,Pablo Lopez,MIA,23.1,7.6, ,3.9, , ,3.7, ,-4.8, , ,2.0, , ,1,2022-04-01
50,Kyle Wright,ATL,24.0,7.5, , , , ,3.6,4.1,-4.5, , ,0.5, , ,1,2022-04-01
51,Chad Kuhl,COL,23.2,7.3, , , , ,5.8,0.9, ,-6.8, ,2.4, , ,1,2022-04-01
52,Logan Webb,SFG,30.1,5.9, , , , ,-0.5,0.5, , , ,-3.2, , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , , , ,7.2,-0.7,-0.5, , ,3.5, , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, , ,7.7, , ,8.0,1.1,-2.5, , ,5.3, , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, , ,4.8, , ,3.7,-2.7, , , ,2.1, , ,1,2022-04-01
