#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Triston McKenzie,CLE,33.2,7.8, , , , ,1.5,4.0, , , ,4,2022-07-01
2,Cole Irvin,OAK,34.0,7.3, , ,2.4,0.8,1.3,0.0, , , ,4,2022-07-01
3,Spencer Strider,ATL,26.2,6.8, , , ,-0.5,0.4, , , , ,4,2022-07-01
4,Carlos Rodon,SFG,37.0,6.5, , , ,-0.2,0.6,1.1, , , ,4,2022-07-01
5,Miles Mikolas,STL,37.2,6.5, , ,4.4,-3.4,-3.7,-0.8,-0.1, , ,4,2022-07-01
6,Jose Urquidy,HOU,33.0,5.9, , , ,1.7,0.7,0.3, , , ,4,2022-07-01
7,Luis Castillo,CIN,28.0,5.8, , ,0.0,0.0,0.0, , , , ,4,2022-07-01
8,Zack Wheeler,PHI,32.2,5.4, ,0.0,1.0,-0.6,2.0,-0.1, , , ,4,2022-07-01
9,Aaron Nola,PHI,35.0,4.5,0.1, ,0.9,-1.8, ,1.1, , , ,4,2022-07-01
10,Chris Bassitt,NYM,25.1,4.0,-0.1, ,2.5,-0.7,-3.3,1.1, , , ,4,2022-07-01
11,Max Scherzer,NYM,32.1,3.8,0.1, , ,1.1,3.5,-1.3, , , ,4,2022-07-01
12,Max Fried,ATL,38.0,3.8, , ,-2.6,1.6,2.8,1.4, , , ,4,2022-07-01
13,Julio Urias,LAD,28.0,3.8, , , ,2.1, ,-1.2, , , ,4,2022-07-01
14,Reid Detmers,LAA,24.0,3.6, , , ,-0.1,3.9,0.6, , , ,4,2022-07-01
15,Tyler Anderson,LAD,32.1,3.3,3.0, ,2.1,1.4, ,-0.1, , , ,4,2022-07-01
16,Gerrit Cole,NYY,38.0,3.1,-1.3, , ,1.9,-2.1,1.1, , , ,4,2022-07-01
17,Clayton Kershaw,LAD,32.1,3.0, , ,0.0,0.2,3.2,0.5, , , ,4,2022-07-01
18,Jake Odorizzi,HOU,28.1,2.9,-0.6,-1.3,0.1, ,0.7,0.2, , , ,4,2022-07-01
19,Merrill Kelly,ARI,41.1,2.8,3.7, ,3.3,0.8,0.0,1.6, , , ,4,2022-07-01
20,Robbie Ray,SEA,25.0,2.6, , ,-4.6,-0.1,-0.6,-1.2, , , ,4,2022-07-01
21,Lucas Giolito,CHW,27.0,2.5, , , ,0.0,-2.6,0.0, , , ,4,2022-07-01
22,Sonny Gray,MIN,24.1,2.4, , ,-5.0, ,-1.1,1.4, , , ,4,2022-07-01
23,Kyle Freeland,COL,29.0,2.3,-4.1, ,2.5,-4.0,1.7, , , , ,4,2022-07-01
24,Lance Lynn,CHW,31.2,2.2,0.8, ,-5.6,-2.0,-0.4,-0.1, , , ,4,2022-07-01
25,Joe Ryan,MIN,26.2,2.1, , , ,-0.1,-2.2,-0.9, , , ,4,2022-07-01
26,Nestor Cortes,NYY,27.2,2.1,0.1, , ,-1.3,2.0,0.0, , , ,4,2022-07-01
27,Marco Gonzales,SEA,31.1,2.0,-2.3, ,-1.2,-2.9, ,0.4, , , ,4,2022-07-01
28,Shane McClanahan,TBR,30.2,1.7, , , ,1.3,2.2,3.4, , , ,4,2022-07-01
29,Kutter Crawford,BOS,28.0,1.6,2.4,-1.1, , ,1.2,2.2, , , ,4,2022-07-01
30,Johnny Cueto,CHW,34.0,1.5,1.2, ,0.1,2.6,-2.2,0.6, , , ,4,2022-07-01
