#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Zach Plesac,CLE,21.1,-4.0, , ,-7.9,-6.8,0.6,0.8, , , ,1,4
32,Logan Gilbert,SEA,22.1,-4.0, , , ,-9.1,4.0,3.1, , , ,1,4
33,Frankie Montas,OAK,29.2,-4.1, ,-6.3,-9.1, ,3.1, , , , ,1,4
34,Merrill Kelly,ARI,28.1,-4.2,-0.8, ,-9.1,-9.5, ,5.2, , , ,1,4
35,Carlos Carrasco,NYM,22.0,-4.3, , ,-8.8,-4.6,1.3,3.7, , , ,1,4
36,Shane Bieber,CLE,29.1,-4.6,-1.4, , ,-7.5,1.1,3.2, , , ,1,4
37,German Marquez,COL,21.0,-4.6, , ,-7.4,-6.5,1.0,1.2, , , ,1,4
38,Cal Quantrill,CLE,22.0,-5.0,1.9, ,-7.6,-7.0, ,2.7, , , ,1,4
39,Logan Webb,SFG,30.1,-5.1,-1.9, ,-8.9,-4.4,5.5, , , , ,1,4
40,Gerrit Cole,NYY,24.0,-5.3,0.5, , ,-7.5,3.0,6.2, , , ,1,4
41,Justin Verlander,HOU,26.0,-5.5, , , ,-7.4,1.9,3.7, , , ,1,4
42,Jose Berrios,TOR,24.0,-5.9, , ,-9.3,-8.6,9.2, , , , ,1,4
43,Max Scherzer,NYM,25.0,-6.1,0.0, , ,-9.1,1.9,8.2, , , ,1,4
44,Chad Kuhl,COL,23.2,-6.1, , ,-8.1,-7.7,1.9,7.4, , , ,1,4
45,Sandy Alcantara,MIA,25.1,-6.2, , ,-10.0,-9.4,-0.2, , , , ,1,4
46,Joan Adon,WSN,23.1,-6.2, , ,-10.2,-9.3, ,5.0, , , ,1,4
47,Joe Ryan,MIN,23.0,-6.4, , , ,-10.9,2.0,8.3, , , ,1,4
48,Tyler Mahle,CIN,22.1,-6.5,0.4,-8.7, , ,2.7, , , , ,1,4
49,Kevin Gausman,TOR,24.2,-6.5, ,-8.5, ,-7.0,0.8, , , , ,1,4
50,Nathan Eovaldi,BOS,28.2,-7.1,0.6,-7.2, , ,3.8,6.0, , , ,1,4
51,Kyle Wright,ATL,24.0,-7.3, , ,-10.1,-9.7,0.3,6.5, , , ,1,4
52,Aaron Nola,PHI,27.2,-7.5,-0.1, ,-9.6,-8.7, ,8.3, , , ,1,4
53,Sean Manaea,SDP,30.0, , , ,8.2,7.9,-3.3, , , , ,1,4
54,Corbin Burnes,MIL,25.2, ,2.3, ,-6.6,-8.7,4.0,5.3, , , ,1,4
55,Dane Dunning,TEX,26.0, ,1.2, ,-9.3,-9.9,3.6, , , , ,1,4
