Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,Year
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.95,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,27.316666666666663,52.93333333333334,-0.7433333333333333,-0.0833333333333333,6.266666666666667,Reliever,2021
Albert Abreu,No,26.5,53.86666666666667,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,53.86666666666667,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,26.5,53.95,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.86666666666667,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,26.5,54.1,-0.95,0.0,-3.95,Reliever,2022
