#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
61,Cal Quantrill,CLE,31.2,-2.94, ,-0.25, , ,1.11, ,2.77, , ,1.64, , ,2,5
62,Humberto Castellanos,ARI,30.1,-2.98, , , , ,-0.44,-1.23,-1.91, , ,-1.39, , ,2,5
63,Erick Fedde,WSN,29.0,-3.65, ,0.58, , ,0.35, ,-0.69, , ,-10.89, , ,2,5
64,Kyle Wright,ATL,29.2,-3.76, , , , ,2.89,2.29,0.11, , ,3.61, , ,2,5
65,Walker Buehler,LAD,34.0,-3.79, ,2.12, , ,-8.52,3.43, ,1.93, ,-0.44, , ,2,5
66,Alex Cobb,SFG,28.1,-4.49, , ,-0.61, ,0.94, , ,-3.07, , , , ,2,5
67,Zach Davies,ARI,30.0, , ,0.12, , ,-0.05, ,-5.07, , ,0.29, , ,2,5
68,Jakob Junis,SFG,27.0, , ,7.64, , ,2.46,0.24, , , ,-1.90, , ,2,5
69,Corbin Burnes,MIL,39.0, , ,1.90, , ,-5.86,2.58,2.94, , ,-2.57, , ,2,5
